bet_target_name,external_league_id,league_name,sport_id,sport_name
"Cutelaba, I",2897,2020 Ultimate Fighting Championship,mma,MMA
"Troyanov, Y",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
"Chimaev, K",2897,2020 Ultimate Fighting Championship,mma,MMA
Consadole Sapporo,3139,2020 J. League,soccer,Soccer
FC Basel,2454,2019/2020 UEFA Europa League,soccer,Soccer
EnviroNZ Franklin Bulls,3406,2020 New Zealand Sal's NBL,basketball,Basketball
"Trainer, M",3444,2020 3M Open,golf,Golf
Khimki,2412,2019/2020 Pirelli Russian Cup,soccer,Soccer
MKE Ankaragücü,2378,2019/2020 Spor Toto Süper Lig,soccer,Soccer
"Ortlip, J",3361,2020 US Pro Tennis Series West,tennis,Tennis
Leganés,1181,2019/2020 Liga de Fútbol Profesional,soccer,Soccer
Cerezo Osaka,3139,2020 J. League,soccer,Soccer
Mazatlán FC,2928,2020 Liga BBVA Bancomer,soccer,Soccer
Miami Heat,320,NBA,basketball,Basketball
CSF Speranta Nisporeni,3276,2020 National Division,soccer,Soccer
"Riffice, S",3353,2020 Grand Slam Tennis Tours MatchPlay 120,tennis,Tennis
Colorado Avalanche,321,NHL,ice-hockey,Hockey
"Di Lorenzo, F",3354,2020 Grand Slam Tennis Tours MatchPlay 120 Women,tennis,Tennis
Lazio,2398,2019/2020 Serie A TIM,soccer,Soccer
"Scott, K",3354,2020 Grand Slam Tennis Tours MatchPlay 120 Women,tennis,Tennis
Spezia,2399,2019/2020 Serie B Eurobet,soccer,Soccer
Saldus SS/Brocenu NBJSS,3417,2020 Latvia 1. Liga,soccer,Soccer
The Wheeler Motor Canterbury Rams,3406,2020 New Zealand Sal's NBL,basketball,Basketball
"Wise, A",3444,2020 3M Open,golf,Golf
"Ramensky, I",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
AFC Bournemouth,1180,England Premier League,soccer,Soccer
Grazer AK,2548,2019/2020 Austria 2. Liga,soccer,Soccer
Tohoku Rakuten Golden Eagles,3377,2020 Nippon Professional Baseball,baseball,Baseball
Floridsdorfer AC,2548,2019/2020 Austria 2. Liga,soccer,Soccer
Boston Bruins,321,NHL,ice-hockey,Hockey
Houston Texans,319,NFL,american-football,Football
SK Slavia Praha,921,2019/2020 SYNOT Liga,soccer,Soccer
Akropolis IF,3284,2020 Superettan,soccer,Soccer
"Rodgers, P",3444,2020 3M Open,golf,Golf
Yokohama F. Marinos,3139,2020 J. League,soccer,Soccer
GKS Tychy,2411,2020/2021 Polish First League,soccer,Soccer
